Airport Code,Airport Name,City,Country,Latitude,Longitude
EDO,Balıkesir Körfez Airport,Balikesir Korfez,Turkey,39.55459976,27.01379967
EDR,Pormpuraaw Airport,Pormpuraaw,Australia,-14.896451,141.60908
EEK,Eek Airport,Eek,United States,60.21367264,-162.0438843
EFL,Kefallinia Airport,Keffallinia,Greece,38.12009811,20.50049973
EGC,Bergerac-Roumanière Airport,Bergerac,France,44.82529831,0.518611014
EGE,Eagle County Regional Airport,Vail,United States,39.64260101,-106.9179993
EGM,Sege Airport,Sege,Solomon Islands,-8.578889847,157.8760071
EGN,Geneina Airport,Geneina,Sudan,13.48169994,22.46719933
EGO,Belgorod International Airport,Belgorod,Russia,50.64379883,36.59009933
EGS,Egilsstaðir Airport,Egilsstadir,Iceland,65.28330231,-14.40139961
EGX,Egegik Airport,Egegik,United States,58.1855011,-157.375
EIN,Eindhoven Airport,Eindhoven,Netherlands,51.45009995,5.374529839
EIS,Terrance B. Lettsome International Airport,Tortola,British Virgin Islands,18.44479942,-64.54299927
EJA,Yariguíes Airport,Barrancabermeja,Colombia,7.02433,-73.8068
EJH,Al Wajh Domestic Airport,Wejh,Saudi Arabia,26.19860077,36.47639847
EKO,Elko Regional Airport,Elko,United States,40.82490158,-115.7919998
EKS,Shakhtyorsk Airport,Shakhtyorsk,Russia,49.1903,142.082993
ELC,Elcho Island Airport,Elcho Island,Australia,-12.01939964,135.5709991
ELD,South Arkansas Regional At Goodwin Field,El Dorado,United States,33.22100067,-92.81330109
ELF,El Fasher Airport,El Fasher,Sudan,13.61489964,25.32460022
ELG,El Golea Airport,El Golea,Algeria,30.57130051,2.859590054
ELH,North Eleuthera Airport,North Eleuthera,Bahamas,25.47489929,-76.6835022
ELI,Elim Airport,Elim,United States,64.61470032,-162.2720032
ELM,Elmira Corning Regional Airport,Elmira,United States,42.15990067,-76.89160156
ELP,El Paso International Airport,El Paso,United States,31.80719948,-106.3779984
ELQ,Gassim Airport,Gassim,Saudi Arabia,26.30279922,43.7743988
ELS,Ben Schoeman Airport,East London,South Africa,-33.03559875,27.82589912
ELU,Guemar Airport,Guemar,Algeria,33.51139832,6.776790142
ELV,Elfin Cove Seaplane Base,Elfin Cove,United States,58.19520187,-136.3470001
EMA,East Midlands Airport,East Midlands,United Kingdom,52.83110046,-1.328060031
EMD,Emerald Airport,Emerald,Australia,-23.56749916,148.1790009
EMK,Emmonak Airport,Emmonak,United States,62.78609848,-164.4909973
ENA,Kenai Municipal Airport,Kenai,United States,60.57310104,-151.2449951
ENE,Ende (H Hasan Aroeboesman) Airport,Ende,Indonesia,-8.849289894,121.6610031
ENH,Enshi Airport,Enshi,China,30.32029915,109.4850006
ENU,Akanu Ibiam International Airport,Enugu,Nigeria,6.474269867,7.56196022
ENY,Yan'an Ershilipu Airport,Yan'an,China,36.636902,109.554001
EOH,Enrique Olaya Herrera Airport,Medellin,Colombia,6.220549,-75.590582
EOI,Eday Airport,Eday,United Kingdom,59.19060135,-2.772219896
EPR,Esperance Airport,Esperance,Australia,-33.684399,121.822998
EQS,Brigadier Antonio Parodi Airport,Esquel,Argentina,-42.90800095,-71.13950348
ERC,Erzincan Airport,Erzincan,Turkey,39.71020126,39.52700043
ERF,Erfurt Airport,Erfurt,Germany,50.97980118,10.95810032
ERI,Erie International Tom Ridge Field,Erie,United States,42.08312701,-80.17386675
ERL,Erenhot Saiwusu International Airport,Erenhot,China,43.4225,112.096667
ERM,Erechim Airport,Erechim,Brazil,-27.66189957,-52.2682991
ERN,Eirunepé Airport,Eirunepe,Brazil,-6.639530182,-69.87979889
ERS,Eros Airport,Windhoek,Namibia,-22.61219978,17.08040047
ERZ,Erzurum International Airport,Erzurum,Turkey,39.95650101,41.17020035
ESB,Esenboğa International Airport,Ankara,Turkey,40.12810135,32.99509811
ESC,Delta County Airport,Escanaba,United States,45.72269821,-87.09369659
ESD,Orcas Island Airport,Eastsound,United States,48.70819855,-122.9100037
ESL,Elista Airport,Elista,Russia,46.37390137,44.33089828
ESM,General Rivadeneira Airport,Esmeraldas,Ecuador,0.978519022,-79.62660217
ESU,Mogador Airport,Essadouira,Morocco,31.39749908,-9.681670189
ETH,Eilat Airport,Elat,Israel,29.56130028,34.96009827
ETR,Santa Rosa International Airport,Santa Rosa,Ecuador,-3.441986,-79.996957
ETZ,Metz-Nancy-Lorraine Airport,Metz,France,48.98210144,6.251319885
EUG,Mahlon Sweet Field,Eugene,United States,44.12459946,-123.211998
EUN,Hassan I Airport,El Aaiún,Western Sahara,27.151699,-13.2192
EUX,F. D. Roosevelt Airport,Oranjestad,Netherlands Antilles,17.49650002,-62.97940063
EVE,"Harstad/Narvik Airport, Evenes",Harstad/Narvik,Norway,68.49130249,16.67810059
EVG,Sveg Airport,Sveg,Sweden,62.04779816,14.4229002
EVN,Zvartnots International Airport,Yerevan,Armenia,40.14730072,44.39590073
EVV,Evansville Regional Airport,Evansville,United States,38.03699875,-87.53240204
EWB,New Bedford Regional Airport,New Bedford,United States,41.67610168,-70.95690155
EWN,Coastal Carolina Regional Airport,New Bern,United States,35.07300186,-77.04290009
EWR,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117
EXT,Exeter International Airport,Exeter,United Kingdom,50.7344017,-3.413889885
EYK,Beloyarskiy Airport,Beloyarsky,Russia,63.686901,66.698601
EYP,El Yopal Airport,Yopal,Colombia,5.31911,-72.384
EYW,Key West International Airport,Key West,United States,24.55610085,-81.75959778
EZE,Ministro Pistarini International Airport,Buenos Aires,Argentina,-34.8222,-58.5358
EZS,Elazığ Airport,Elazig,Turkey,38.60689926,39.29140091
FAE,Vagar Airport,Vagar,Faroe Islands,62.06359863,-7.277219772
FAI,Fairbanks International Airport,Fairbanks,United States,64.81510162,-147.8560028
FAO,Faro Airport,Faro,Portugal,37.01440048,-7.965909958
FAR,Hector International Airport,Fargo,United States,46.92070007,-96.81580353
FAT,Fresno Yosemite International Airport,Fresno,United States,36.77619934,-119.7180023
FAV,Fakarava Airport,Fakarava,French Polynesia,-16.05410004,-145.6569977
FAY,Fayetteville Regional Grannis Field,Fayetteville,United States,34.99119949,-78.88030243
FBM,Lubumbashi International Airport,Lubumashi,Congo (Kinshasa),-11.59130001,27.53089905
FCA,Glacier Park International Airport,Kalispell,United States,48.3105011,-114.2559967
FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,41.8002778,12.2388889
FDF,Martinique Aimé Césaire International Airport,Fort-de-france,Martinique,14.5909996,-61.00320053
FDH,Friedrichshafen Airport,Friedrichshafen,Germany,47.67129898,9.511489868
FEG,Fergana International Airport,Fergana,Uzbekistan,40.35879898,71.74500275
FEN,Fernando de Noronha Airport,Fernando Do Noronha,Brazil,-3.85493,-32.423302
FEZ,Saïss Airport,Fes,Morocco,33.9272995,-4.97796011
FIH,Ndjili International Airport,Kinshasa,Congo (Kinshasa),-4.38575,15.4446
FJR,Fujairah International Airport,Fujeirah,United Arab Emirates,25.11219978,56.32400131
FKB,Karlsruhe Baden-Baden Airport,Karlsruhe/Baden-Baden,Germany,48.77939987,8.080499649
FKI,Bangoka International Airport,Kisangani,Congo (Kinshasa),0.481638998,25.33799934
FKL,Venango Regional Airport,Franklin,United States,41.37789917,-79.86039734
FKQ,Fakfak Airport,Fak Fak,Indonesia,-2.920190096,132.2669983
FKS,Fukushima Airport,Fukushima,Japan,37.22740173,140.4309998
FLA,Gustavo Artunduaga Paredes Airport,Florencia,Colombia,1.58919,-75.5644
FLG,Flagstaff Pulliam Airport,Flagstaff,United States,35.13850021,-111.6709976
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599,-80.152702
FLN,Hercílio Luz International Airport,Florianopolis,Brazil,-27.67027855,-48.55250168
FLO,Florence Regional Airport,Florence,United States,34.1853981,-79.72389984
FLR,Peretola Airport,Florence,Italy,43.810001,11.2051
FLS,Flinders Island Airport,Flinders Island,Australia,-40.09170151,147.9929962
FLW,Flores Airport,Flores,Portugal,39.45529938,-31.13139915
FMA,Formosa Airport,Formosa,Argentina,-26.2127,-58.2281
FMI,Kalemie Airport,Kalemie,Congo (Kinshasa),-5.875559807,29.25
FMM,Memmingen Allgau Airport,Memmingen,Germany,47.98880005,10.23950005
FMN,Four Corners Regional Airport,Farmington,United States,36.74119949,-108.2300034
FMO,Münster Osnabrück Airport,Munster,Germany,52.13460159,7.684830189
FNA,Lungi International Airport,Freetown,Sierra Leone,8.61644,-13.1955
FNC,Madeira Airport,Funchal,Portugal,32.697899,-16.7745
FNI,Nîmes-Arles-Camargue Airport,Nimes,France,43.75740051,4.416349888
FNJ,Pyongyang Sunan International Airport,Pyongyang,North Korea,39.224098,125.669998
FNT,Bishop International Airport,Flint,United States,42.9654007,-83.74359894
FOC,Fuzhou Changle International Airport,Fuzhou,China,25.93510056,119.663002
FOE,Topeka Regional Airport - Forbes Field,Topeka,United States,38.95090103,-95.66359711
FON,Arenal Airport,La Fortuna/San Carlos,Costa Rica,10.478,-84.634499
FOR,Pinto Martins International Airport,Fortaleza,Brazil,-3.776279926,-38.5326004
FPO,Grand Bahama International Airport,Freeport,Bahamas,26.55870056,-78.69560242
FRA,Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556
FRD,Friday Harbor Airport,Friday Harbor,United States,48.52199936,-123.0240021
FRE,Fera/Maringe Airport,Fera Island,Solomon Islands,-8.1075,159.576996
FRO,Florø Airport,Floro,Norway,61.58359909,5.024720192
FRS,Mundo Maya International Airport,Flores,Guatemala,16.91379929,-89.86640167
FRU,Manas International Airport,Bishkek,Kyrgyzstan,43.06129837,74.4776001
FRW,Francistown Airport,Francistown,Botswana,-21.1595993,27.47450066
FSC,Figari Sud-Corse Airport,Figari,France,41.50059891,9.097780228
FSD,Joe Foss Field Airport,Sioux Falls,United States,43.58200073,-96.74189758
FSM,Fort Smith Regional Airport,Fort Smith,United States,35.33660126,-94.36740112
FSP,St Pierre Airport,St.-pierre,Saint Pierre and Miquelon,46.76290131,-56.17309952
FTA,Futuna Airport,Futuna Island,Vanuatu,-19.51639938,170.2319946
FTE,El Calafate Airport,El Calafate,Argentina,-50.2803,-72.053101
FTU,Tôlanaro Airport,Tolagnaro,Madagascar,-25.03809929,46.95610046
FUE,Fuerteventura Airport,Fuerteventura,Spain,28.45269966,-13.86380005
FUG,Fuyang Xiguan Airport,Fuyang,China,32.882157,115.734364
FUJ,Fukue Airport,Fukue,Japan,32.66630173,128.8329926
FUK,Fukuoka Airport,Fukuoka,Japan,33.58589935,130.451004
FUN,Funafuti International Airport,Funafuti,Tuvalu,-8.525,179.195999
FUO,Foshan Shadi Airport,Foshan,China,23.08329964,113.0699997
FUT,Pointe Vele Airport,Futuna Island,Wallis and Futuna,-14.31140041,-178.0659943
FWA,Fort Wayne International Airport,Fort Wayne,United States,40.97850037,-85.19509888
FYU,Fort Yukon Airport,Fort Yukon,United States,66.57150269,-145.25
GAE,Gabès Matmata International Airport,Gabes,Tunisia,33.87689972,10.10330009
GAF,Gafsa Ksar International Airport,Gafsa,Tunisia,34.42200089,8.822500229
GAJ,Yamagata Airport,Yamagata,Japan,38.41189957,140.3710022
GAL,Edward G. Pitka Sr Airport,Galena,United States,64.73619843,-156.9369965
GAM,Gambell Airport,Gambell,United States,63.76679993,-171.7330017
GAN,Gan International Airport,Gan Island,Maldives,-0.693342,73.155602
GAO,Mariana Grajales Airport,Guantanamo,Cuba,20.08530045,-75.15830231
GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati,India,26.10610008,91.58589935
GBB,Gabala International Airport,Qabala,Azerbaijan,40.826667,47.7125
GBE,Sir Seretse Khama International Airport,Gaberone,Botswana,-24.555201,25.9182
GBT,Gorgan Airport,Gorgan,Iran,36.90940094,54.40129852
GCC,Gillette Campbell County Airport,Gillette,United States,44.34889984,-105.5390015
GCH,Gachsaran Airport,Gachsaran,Iran,30.33760071,50.82799912
GCI,Guernsey Airport,Guernsey,Guernsey,49.43500137,-2.601969957
GCK,Garden City Regional Airport,Garden City,United States,37.92750168,-100.723999
GCM,Owen Roberts International Airport,Georgetown,Cayman Islands,19.2928009,-81.35769653
GCN,Grand Canyon National Park Airport,Grand Canyon,United States,35.95240021,-112.1470032
GDE,Gode Airport,Gode,Ethiopia,5.935130119,43.57860184
GDL,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico,20.52179909,-103.310997
GDN,Gdańsk Lech Wałęsa Airport,Gdansk,Poland,54.37760162,18.46619987
GDQ,Gonder Airport,Gondar,Ethiopia,12.51990032,37.43399811
GDT,JAGS McCartney International Airport,Cockburn Town,Turks and Caicos Islands,21.44449997,-71.14230347
GDV,Dawson Community Airport,Glendive,United States,47.13869858,-104.8069992
GDX,Sokol Airport,Magadan,Russia,59.9109993,150.7200012
GDZ,Gelendzhik Airport,Gelendzhik,Russia,44.58209263,38.01248074
GEA,Nouméa Magenta Airport,Noumea,New Caledonia,-22.25830078,166.4730072
GEG,Spokane International Airport,Spokane,United States,47.61989975,-117.5339966
GEL,Santo Ângelo Airport,Santo Angelo,Brazil,-28.2817,-54.169102
GEO,Cheddi Jagan International Airport,Georgetown,Guyana,6.498549938,-58.2541008
GES,General Santos International Airport,Romblon,Philippines,6.058000088,125.0960007
GET,Geraldton Airport,Geraldton,Australia,-28.796101,114.707001
GEV,Gällivare Airport,Gallivare,Sweden,67.13240051,20.81459999
GFF,Griffith Airport,Griffith,Australia,-34.25080109,146.0670013
GFK,Grand Forks International Airport,Grand Forks,United States,47.949299,-97.176102
GFN,Grafton Airport,Grafton,Australia,-29.75939941,153.0299988
GGG,East Texas Regional Airport,Longview,United States,32.38399887,-94.71150208
GGT,Exuma International Airport,Great Exuma,Bahamas,23.56259918,-75.87799835
GGW,Wokal Field Glasgow International Airport,Glasgow,United States,48.212502,-106.614998
GHA,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,32.38410187,3.79411006
GHB,Governor's Harbour Airport,Governor's Harbor,Bahamas,25.28470039,-76.33100128
GHT,Ghat Airport,Ghat,Libya,25.14559937,10.14260006
GIB,Gibraltar Airport,Gibraltar,Gibraltar,36.15119934,-5.34965992
GIG,Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,Brazil,-22.80999947,-43.25055695
GIL,Gilgit Airport,Gilgit,Pakistan,35.91880035,74.33360291
GIS,Gisborne Airport,Gisborne,New Zealand,-38.66329956,177.9779968
GIU,Sigiriya Air Force Base,Sigiriya,Sri Lanka,7.956669807,80.72850037
GIZ,Jizan Regional Airport,Gizan,Saudi Arabia,16.90110016,42.58580017
GJA,La Laguna Airport,Guanaja,Honduras,16.4454,-85.906601
GJT,Grand Junction Regional Airport,Grand Junction,United States,39.12239838,-108.5270004
GKA,Goroka Airport,Goroka,Papua New Guinea,-6.081689835,145.3919983
GKK,Kooddoo Airport,Kooddoo,Maldives,0.7324,73.4336
GLA,Glasgow International Airport,Glasgow,United Kingdom,55.87189865,-4.433060169
GLF,Golfito Airport,Golfito,Costa Rica,8.654009819,-83.18219757
GLH,Mid Delta Regional Airport,Greenville,United States,33.48289871,-90.98560333
GLK,Galcaio Airport,Galcaio,Somalia,6.780829906,47.45470047
GLO,Gloucestershire Airport,Golouchestershire,United Kingdom,51.89419937,-2.167220116
GLT,Gladstone Airport,Gladstone,Australia,-23.869699,151.223007
GLV,Golovin Airport,Golovin,United States,64.55049896,-163.0070038
GMA,Gemena Airport,Gemena,Congo (Kinshasa),3.235369921,19.77129936
GMB,Gambella Airport,Gambella,Ethiopia,8.128760338,34.56309891
GMO,Gombe Lawanti International Airport,Gombe,Nigeria,10.29833333,10.89638889
GMP,Gimpo International Airport,Seoul,South Korea,37.5583,126.791
GMR,Totegegie Airport,Totegegie,French Polynesia,-23.07990074,-134.8899994
GMZ,La Gomera Airport,La Gomera,Spain,28.02960014,-17.21459961
GND,Point Salines International Airport,Point Salines,Grenada,12.00419998,-61.78620148
GNM,Guanambi Airport,Guanambi,Brazil,-14.20820045,-42.74610138
GNV,Gainesville Regional Airport,Gainesville,United States,29.69009972,-82.27179718
GNY,Şanlıurfa GAP Airport,Sanliurfa,Turkey,37.445663,38.895592
GOA,Genoa Cristoforo Colombo Airport,Genoa,Italy,44.4133,8.8375
GOH,Godthaab / Nuuk Airport,Godthaab,Greenland,64.19090271,-51.67810059
GOI,Dabolim Airport,Goa,India,15.38080025,73.83139801
GOJ,Nizhny Novgorod Strigino International Airport,Nizhniy Novgorod,Russia,56.23009872,43.7840004
GOM,Goma International Airport,Goma,Congo (Kinshasa),-1.670809984,29.2385006
GOP,Gorakhpur Airport,Gorakhpur,India,26.73970032,83.4496994
GOQ,Golmud Airport,Golmud,China,36.4006,94.786102
GOT,Gothenburg-Landvetter Airport,Gothenborg,Sweden,57.66279984,12.27980042
GOU,Garoua International Airport,Garoua,Cameroon,9.335889816,13.37010002
GOV,Gove Airport,Gove,Australia,-12.26939964,136.8179932
GPA,Araxos Airport,Patras,Greece,38.1511,21.4256
GPB,Tancredo Thomas de Faria Airport,Guarapuava,Brazil,-25.38750076,-51.52019882
GPI,Juan Casiano Airport,Guapi,Colombia,2.57013,-77.8986
GPS,Seymour Airport,Galapagos,Ecuador,-0.453758001,-90.26589966
GPT,Gulfport Biloxi International Airport,Gulfport,United States,30.40730095,-89.07009888
GRB,Austin Straubel International Airport,Green Bay,United States,44.48509979,-88.12960052
GRI,Central Nebraska Regional Airport,Grand Island,United States,40.96749878,-98.30960083
GRJ,George Airport,George,South Africa,-34.0056,22.378902
GRK,Robert Gray  Army Air Field Airport,Killeen,United States,31.06719971,-97.8289032
GRO,Girona Airport,Gerona,Spain,41.90100098,2.760550022
GRP,Gurupi Airport,Gurupi,Brazil,-11.73960018,-49.13219833
GRQ,Eelde Airport,Groningen,Netherlands,53.11970139,6.579440117
GRR,Gerald R. Ford International Airport,Grand Rapids,United States,42.88079834,-85.52279663
GRU,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.43555641,-46.47305679
GRW,Graciosa Airport,Graciosa Island,Portugal,39.09220123,-28.02980042
GRX,Federico Garcia Lorca Airport,Granada,Spain,37.18870163,-3.777359962
GRZ,Graz Airport,Graz,Austria,46.99110031,15.43959999
GSE,Gothenburg City Airport,Gothenborg,Sweden,57.7747,11.8704
GSO,Piedmont Triad International Airport,Greensboro,United States,36.09780121,-79.93730164
GSP,Greenville Spartanburg International Airport,Greenville,United States,34.89569855,-82.21890259
GST,Gustavus Airport,Gustavus,United States,58.4253006,-135.7070007
GTE,Groote Eylandt Airport,Groote Eylandt,Australia,-13.97500038,136.4600067
GTF,Great Falls International Airport,Great Falls,United States,47.48199844,-111.3710022
GTO,Jalaluddin Airport,Gorontalo,Indonesia,0.637118995,122.8499985
GTR,Golden Triangle Regional Airport,Columbus Mississippi,United States,33.45029831,-88.59140015
GUA,La Aurora Airport,Guatemala City,Guatemala,14.5833,-90.527496
GUC,Gunnison Crested Butte Regional Airport,Gunnison,United States,38.53390121,-106.9329987
GUM,Antonio B. Won Pat International Airport,Agana,Guam,13.48340034,144.7960052
GUR,Gurney Airport,Gurney,Papua New Guinea,-10.3114996,150.3339996
GUW,Atyrau Airport,Atyrau,Kazakhstan,47.12189865,51.82139969
GVA,Geneva Cointrin International Airport,Geneva,Switzerland,46.23809814,6.108950138
GVR,Coronel Altino Machado de Oliveira Airport,Governador Valadares,Brazil,-18.89520073,-41.98220062
GWD,Gwadar International Airport,Gwadar,Pakistan,25.23329926,62.32949829
GWL,Gwalior Airport,Gwalior,India,26.29330063,78.22779846
GWT,Westerland Sylt Airport,Westerland,Germany,54.91320038,8.340470314
GXF,Sayun International Airport,Sayun Intl,Yemen,15.96609974,48.78829956
GXH,Gannan Xiahe Airport,Xiahe city,China,34.8105,102.6447
GYA,Capitán de Av. Emilio Beltrán Airport,Guayaramerín,Bolivia,-10.82059956,-65.34559631
GYD,Heydar Aliyev International Airport,Baku,Azerbaijan,40.46749878,50.04669952
GYE,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,-2.15741992,-79.88359833
GYN,Santa Genoveva Airport,Goiania,Brazil,-16.63199997,-49.22069931
GYS,Guangyuan Airport,Guangyuan,China,32.39110184,105.7020035
GZO,Nusatupe Airport,Gizo,Solomon Islands,-8.097780228,156.8639984
GZP,Gazipaşa Airport,Alanya,Turkey,36.299217,32.300598
GZT,Gaziantep International Airport,Gaziantep,Turkey,36.94720078,37.47869873
HAA,Hasvik Airport,Hasvik,Norway,70.48670197,22.13969994
HAC,Hachijojima Airport,Hachijojima,Japan,33.11500168,139.7859955
HAD,Halmstad Airport,Halmstad,Sweden,56.69110107,12.82019997
HAH,Prince Said Ibrahim International Airport,Moroni,Comoros,-11.5337,43.2719
